"Date","Price","Open","High","Low","Change %"
"Jan 01, 2020","1,516.89","1,517.24","1,517.48","1,517.19","-0.01%"
"Jan 02, 2020","1,528.85","1,517.24","1,531.55","1,517.22","0.79%"
"Jan 03, 2020","1,551.40","1,528.95","1,553.70","1,528.00","1.48%"
"Jan 06, 2020","1,565.86","1,561.15","1,583.44","1,560.90","0.93%"
"Jan 07, 2020","1,573.89","1,565.93","1,577.53","1,555.29","0.51%"
"Jan 08, 2020","1,555.71","1,573.99","1,611.15","1,552.23","-1.15%"
"Jan 09, 2020","1,552.27","1,555.76","1,561.67","1,540.18","-0.22%"
"Jan 10, 2020","1,562.03","1,552.40","1,563.27","1,545.52","0.63%"
"Jan 13, 2020","1,548.05","1,562.29","1,562.30","1,546.77","-0.90%"
"Jan 14, 2020","1,546.12","1,548.31","1,548.95","1,536.12","-0.12%"
"Jan 15, 2020","1,555.94","1,546.40","1,558.44","1,546.11","0.63%"
"Jan 16, 2020","1,552.54","1,556.18","1,558.19","1,548.05","-0.22%"
"Jan 17, 2020","1,556.22","1,552.90","1,561.45","1,549.36","0.24%"
"Jan 20, 2020","1,561.28","1,558.65","1,563.00","1,556.39","0.32%"
"Jan 21, 2020","1,557.73","1,560.94","1,568.75","1,546.41","-0.23%"
"Jan 22, 2020","1,558.62","1,558.03","1,559.63","1,550.08","0.06%"
"Jan 23, 2020","1,563.03","1,558.93","1,568.17","1,551.68","0.28%"
"Jan 24, 2020","1,570.36","1,563.30","1,576.01","1,556.42","0.47%"
"Jan 27, 2020","1,581.65","1,580.10","1,586.81","1,575.81","0.72%"
"Jan 28, 2020","1,565.86","1,581.95","1,583.27","1,565.65","-1.00%"
"Jan 29, 2020","1,576.72","1,566.19","1,578.04","1,563.21","0.69%"
"Jan 30, 2020","1,573.92","1,577.09","1,586.16","1,572.65","-0.18%"
"Jan 31, 2020","1,589.81","1,574.18","1,590.21","1,570.84","1.01%"
"Feb 03, 2020","1,576.05","1,590.20","1,591.84","1,571.29","-0.87%"
"Feb 04, 2020","1,552.26","1,576.40","1,579.57","1,549.14","-1.51%"
"Feb 05, 2020","1,556.41","1,552.56","1,562.50","1,547.40","0.27%"
"Feb 06, 2020","1,566.56","1,556.95","1,568.55","1,552.46","0.65%"
"Feb 07, 2020","1,569.91","1,566.86","1,574.18","1,562.39","0.21%"
"Feb 10, 2020","1,571.90","1,570.29","1,577.23","1,568.01","0.13%"
"Feb 11, 2020","1,567.42","1,572.09","1,574.17","1,562.29","-0.29%"
"Feb 12, 2020","1,565.33","1,567.73","1,570.59","1,561.80","-0.13%"
"Feb 13, 2020","1,576.09","1,565.62","1,578.24","1,565.53","0.69%"
"Feb 14, 2020","1,584.32","1,576.30","1,585.05","1,573.12","0.52%"
"Feb 17, 2020","1,580.80","1,584.70","1,584.81","1,578.60","-0.22%"
"Feb 18, 2020","1,601.67","1,583.44","1,605.45","1,583.09","1.32%"
"Feb 19, 2020","1,611.34","1,601.85","1,613.04","1,599.53","0.60%"
"Feb 20, 2020","1,619.41","1,611.71","1,623.79","1,603.98","0.50%"
"Feb 21, 2020","1,643.32","1,619.69","1,649.15","1,618.94","1.48%"
"Feb 24, 2020","1,660.42","1,659.05","1,689.11","1,652.37","1.04%"
"Feb 25, 2020","1,635.08","1,660.72","1,660.86","1,629.10","-1.53%"
"Feb 26, 2020","1,639.58","1,635.37","1,655.09","1,625.79","0.27%"
"Feb 27, 2020","1,641.95","1,640.55","1,660.57","1,635.65","0.14%"
"Feb 28, 2020","1,584.74","1,642.15","1,649.48","1,565.86","-3.48%"
"Mar 02, 2020","1,590.43","1,591.10","1,611.03","1,579.70","0.36%"
"Mar 03, 2020","1,639.47","1,590.77","1,649.55","1,587.86","3.08%"
"Mar 04, 2020","1,635.45","1,639.76","1,651.65","1,632.06","-0.25%"
"Mar 05, 2020","1,670.31","1,635.91","1,674.69","1,635.07","2.13%"
